timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1594391599828,525,login-0,200,,jp@gc - Ultimate Thread Group 1-388,text,true,,4977,231,821,821,http://localhost:8082/login,525,0,1
1594391603939,1599,login-1,200,,jp@gc - Ultimate Thread Group 1-388,text,true,,13693,633,982,982,http://localhost:8082/books,1425,0,1
1594391604262,135,logout,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-538,,true,,6977,756,982,982,null,0,1141,0
1594391605403,135,logout-0,200,,jp@gc - Ultimate Thread Group 1-538,text,true,,6977,756,982,982,http://localhost:8082/,73,0,1
1594391602879,525,catalog,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-295,,true,,13353,285,982,982,null,0,2137,0
1594391605015,525,catalog-0,200,,jp@gc - Ultimate Thread Group 1-295,text,true,,13353,285,982,982,http://localhost:8082/books/,525,0,1
1594391595185,4844,review,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-723,,true,,39841,1459,982,982,null,0,5516,0
1594391597076,4144,review-0,200,,jp@gc - Ultimate Thread Group 1-723,text,true,,20072,1125,853,853,http://localhost:8082/books/13#reviews,3710,0,1
1594391604844,700,review-1,200,,jp@gc - Ultimate Thread Group 1-723,text,true,,19769,334,982,982,http://localhost:8082/books/13,700,0,0
1594391604613,173,catalog,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-784,,true,,13351,285,982,982,null,0,759,0
1594391605371,173,catalog-0,200,,jp@gc - Ultimate Thread Group 1-784,text,true,,13351,285,982,982,http://localhost:8082/books/,173,0,1
1594391602968,187,logout,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-662,,true,,6977,756,982,982,null,0,2390,0
1594391605358,187,logout-0,200,,jp@gc - Ultimate Thread Group 1-662,text,true,,6977,756,982,982,http://localhost:8082/,68,0,1
1594391604248,118,logout,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-654,,true,,6977,756,982,982,null,0,1180,0
1594391605428,118,logout-0,200,,jp@gc - Ultimate Thread Group 1-654,text,true,,6977,756,982,982,http://localhost:8082/,66,0,0
